config,relation,family,effect_type,heads,bin_index,mean,ci_low,ci_high,sign_flip_p,num_tasks,bh_q
bin5_allheads_necessity_loss,opposite_same_wording,position,necessity_loss,all,5,0.04249897909661134,0.03966216099603723,0.04545941600420823,4.999750012499375e-05,48,
bin5_allheads_sufficiency,opposite_same_wording,position,sufficiency,all,5,0.04341473523527384,0.04069865365357449,0.04612610162391017,4.999750012499375e-05,48,
full_V_control_necessity_loss,opposite_cross_wording,control,control_necessity_loss,all,-1,0.04169276791314284,0.03830341851183524,0.045089484766746554,4.999750012499375e-05,48,
full_V_control_sufficiency,opposite_cross_wording,control,control_sufficiency,all,-1,0.04393698119868835,0.041203563450835645,0.046717631987606485,4.999750012499375e-05,48,
full_V_control_sufficiency,same_state_cross_wording,control,control_sufficiency,all,-1,-0.001221750242014726,-0.0023593001145248613,-0.00011911480687558696,0.04064796760161992,48,
full_V_control_sufficiency,self,control,control_sufficiency,all,-1,4.31950514515241e-05,-0.0003243594740827878,0.00038573741136739613,0.8208089595520224,48,
full_V_necessity_loss,opposite_same_wording,reference,necessity_loss,all,-1,0.043759024081130825,0.04058674853295088,0.04709085026600709,4.999750012499375e-05,48,
full_V_sufficiency,opposite_same_wording,reference,sufficiency,all,-1,0.04344554773221413,0.0405977656521524,0.046416125485363106,4.999750012499375e-05,48,
head0_bin0_necessity_loss,opposite_same_wording,head_position,necessity_loss,0,0,8.604799707730611e-05,-0.0005145120744903883,0.0006938099938755222,0.7900104994750262,48,0.8618296357909376
head0_bin0_sufficiency,opposite_same_wording,head_position,sufficiency,0,0,-0.0005886595075329145,-0.0011922796722501517,1.6372123112281134e-05,0.06709664516774161,48,0.16103194840257987
head0_bin1_necessity_loss,opposite_same_wording,head_position,necessity_loss,0,1,-0.0005059552689393362,-0.0011566735260809462,0.00015043466507146705,0.14744262786860657,48,0.505517581263794
head0_bin1_sufficiency,opposite_same_wording,head_position,sufficiency,0,1,-0.0006080931052565575,-0.001181143793898324,-1.4403920310239421e-05,0.0463976801159942,48,0.13919304034798258
head0_bin2_necessity_loss,opposite_same_wording,head_position,necessity_loss,0,2,0.00032264118393262226,-0.00035371288346747556,0.001023278920911252,0.36093195340232986,48,0.6663359139735321
head0_bin2_sufficiency,opposite_same_wording,head_position,sufficiency,0,2,-0.000282441886762778,-0.0009352411841973662,0.00039718888389567484,0.41722913854307286,48,0.4722309339078501
head0_bin3_necessity_loss,opposite_same_wording,head_position,necessity_loss,0,3,0.00013467390090227127,-0.0006262863287702203,0.0008933899148056894,0.7166641667916605,48,0.819044762047612
head0_bin3_sufficiency,opposite_same_wording,head_position,sufficiency,0,3,0.0004465241606036822,-0.00021218407588700455,0.0010982676021133856,0.1894405279736013,48,0.3497363593358793
head0_bin4_necessity_loss,opposite_same_wording,head_position,necessity_loss,0,4,0.0017983174572388332,0.0011175165030484397,0.002555270221394797,4.999750012499375e-05,48,0.000599970001499925
head0_bin4_sufficiency,opposite_same_wording,head_position,sufficiency,0,4,0.0012240859990318616,0.00031260681959489986,0.0021418921339015165,0.012099395030248488,48,0.048397580120993954
head0_bin5_necessity_loss,opposite_same_wording,head_position,necessity_loss,0,5,0.044482024386525154,0.04151590859983116,0.04760492473530272,4.999750012499375e-05,48,0.000599970001499925
head0_bin5_sufficiency,opposite_same_wording,head_position,sufficiency,0,5,0.04478038288652897,0.042171729068892695,0.04760867883451283,4.999750012499375e-05,48,0.000599970001499925
head0_necessity_loss,opposite_same_wording,head,necessity_loss,0,-1,0.04721143438170353,0.044342397479340434,0.050324216252192855,4.999750012499375e-05,48,
head0_sufficiency,opposite_same_wording,head,sufficiency,0,-1,0.04705274570733309,0.044221151534778375,0.05007155297789722,4.999750012499375e-05,48,
head1_bin0_necessity_loss,opposite_same_wording,head_position,necessity_loss,1,0,0.00013200255731741586,-0.00048242306802421804,0.0007801636587828389,0.6877156142192891,48,0.819044762047612
head1_bin0_sufficiency,opposite_same_wording,head_position,sufficiency,1,0,-0.0006527872756123543,-0.001229087682440877,-8.2933770803114e-05,0.026998650067496625,48,0.09256680023141699
head1_bin1_necessity_loss,opposite_same_wording,head_position,necessity_loss,1,1,-0.00020129854480425516,-0.0007699505503599842,0.0003794892691075801,0.496075196240188,48,0.7601972842534344
head1_bin1_sufficiency,opposite_same_wording,head_position,sufficiency,1,1,-0.00031901740779479343,-0.0009824062852809826,0.0003416254262750347,0.36278186090695463,48,0.4722309339078501
head1_bin2_necessity_loss,opposite_same_wording,head_position,necessity_loss,1,2,0.0004924563691020012,-0.00019435524785270294,0.0011479043789828815,0.1694915254237288,48,0.5084745762711864
head1_bin2_sufficiency,opposite_same_wording,head_position,sufficiency,1,2,-0.00035222526639699936,-0.0010763338068500161,0.00037331714605291566,0.3624818759062047,48,0.4722309339078501
head1_bin3_necessity_loss,opposite_same_wording,head_position,necessity_loss,1,3,-0.00022307721277077994,-0.0008695202957217892,0.00042271484465648704,0.5155242237888106,48,0.7601972842534344
head1_bin3_sufficiency,opposite_same_wording,head_position,sufficiency,1,3,-0.00030482374131679535,-0.0009735330163190762,0.00038701534892121884,0.3834808259587021,48,0.4722309339078501
head1_bin4_necessity_loss,opposite_same_wording,head_position,necessity_loss,1,4,0.0001565413549542427,-0.00042721030768007036,0.0007414210354909298,0.6058697065146743,48,0.8078262753528991
head1_bin4_sufficiency,opposite_same_wording,head_position,sufficiency,1,4,-0.00026226540406545,-0.000873144514237841,0.0003510948736220596,0.4055297235138243,48,0.4722309339078501
head1_bin5_necessity_loss,opposite_same_wording,head_position,necessity_loss,1,5,-0.00022527916977802911,-0.0008543273899704217,0.0003977238588655988,0.4941252937353132,48,0.7601972842534344
head1_bin5_sufficiency,opposite_same_wording,head_position,sufficiency,1,5,-0.00028184428811073303,-0.0008774454394976298,0.0003528368581707275,0.3767311634418279,48,0.4722309339078501
head1_necessity_loss,opposite_same_wording,head,necessity_loss,1,-1,3.8290085891882576e-05,-0.0006221261573955417,0.0006928589893504974,0.9093045347732613,48,
head1_sufficiency,opposite_same_wording,head,sufficiency,1,-1,-0.0003604423254728317,-0.0009927954524755478,0.0002811155825232462,0.2656367181640918,48,
head2_bin0_necessity_loss,opposite_same_wording,head_position,necessity_loss,2,0,-0.0003799799208839734,-0.0009776097877571982,0.00021584359928965527,0.22828858557072146,48,0.5889305534723264
head2_bin0_sufficiency,opposite_same_wording,head_position,sufficiency,2,0,-0.0012336873138944309,-0.0018647414864972234,-0.0005906916068245971,0.0006499675016249188,48,0.004499775011249438
head2_bin1_necessity_loss,opposite_same_wording,head_position,necessity_loss,2,1,-0.0006829093520840009,-0.0012791922238344947,-4.099654033780165e-05,0.037948102594870255,48,0.18215089245537724
head2_bin1_sufficiency,opposite_same_wording,head_position,sufficiency,2,1,-0.0007029976695775986,-0.0013658918673172594,-1.5950521143774397e-05,0.0543972801359932,48,0.14505941369598185
head2_bin2_necessity_loss,opposite_same_wording,head_position,necessity_loss,2,2,0.00012704109152158102,-0.0005435072661687931,0.0007895644676561151,0.7141642917854107,48,0.819044762047612
head2_bin2_sufficiency,opposite_same_wording,head_position,sufficiency,2,2,-0.0004082399730881055,-0.0010231653694063425,0.00022685718722641467,0.21018949052547373,48,0.36032484090081207
head2_bin3_necessity_loss,opposite_same_wording,head_position,necessity_loss,2,3,-0.00033836594472328824,-0.0009710642276331783,0.00027545556270827795,0.3008849557522124,48,0.6017699115044248
head2_bin3_sufficiency,opposite_same_wording,head_position,sufficiency,2,3,0.00019838009029626846,-0.000500323281933864,0.0009290083699549235,0.5823208839558022,48,0.6076391832582284
head2_bin4_necessity_loss,opposite_same_wording,head_position,necessity_loss,2,4,-0.00047271760801474255,-0.0010663197531054418,0.00011274764159073376,0.13964301784910754,48,0.505517581263794
head2_bin4_sufficiency,opposite_same_wording,head_position,sufficiency,2,4,-0.00028715717295805615,-0.0009769936790689825,0.0003945779676238693,0.4258287085645718,48,0.4722309339078501
head2_bin5_necessity_loss,opposite_same_wording,head_position,necessity_loss,2,5,-4.9439879755179085e-05,-0.0006855203925321499,0.0006230976898223161,0.8849057547122644,48,0.8849057547122644
head2_bin5_sufficiency,opposite_same_wording,head_position,sufficiency,2,5,-0.00047190052767594654,-0.0011347169677416483,0.0002483109167466559,0.18764061796910156,48,0.3497363593358793
head2_necessity_loss,opposite_same_wording,head,necessity_loss,2,-1,-0.0008520179738601049,-0.0014312815697242816,-0.0002677706458295391,0.006349682515874206,48,
head2_sufficiency,opposite_same_wording,head,sufficiency,2,-1,-0.0012918437520662944,-0.0020124024245887994,-0.0005873544529701273,0.0008999550022498875,48,
head3_bin0_necessity_loss,opposite_same_wording,head_position,necessity_loss,3,0,-6.730233629544576e-05,-0.0008100819230700533,0.000658749276772141,0.8574071296435178,48,0.8849057547122644
head3_bin0_sufficiency,opposite_same_wording,head_position,sufficiency,3,0,-0.0016060440490643184,-0.0024641964041317503,-0.0007139708148315556,0.0007499625018749063,48,0.004499775011249438
head3_bin1_necessity_loss,opposite_same_wording,head_position,necessity_loss,3,1,0.0003964385638634364,-0.0003417225865026315,0.001111889413247506,0.3000349982500875,48,0.6017699115044248
head3_bin1_sufficiency,opposite_same_wording,head_position,sufficiency,3,1,-9.798879424730937e-05,-0.0006971639736245076,0.0004985888566200919,0.7555122243887805,48,0.7555122243887805
head3_bin2_necessity_loss,opposite_same_wording,head_position,necessity_loss,3,2,0.0003567878156900406,-0.00019646899309009314,0.0009323606888453161,0.24538773061346933,48,0.5889305534723264
head3_bin2_sufficiency,opposite_same_wording,head_position,sufficiency,3,2,-0.00027322955429553986,-0.0009308417715753118,0.00041141423862427423,0.4328783560821959,48,0.4722309339078501
head3_bin3_necessity_loss,opposite_same_wording,head_position,necessity_loss,3,3,-0.001061937150855859,-0.0017038849648088215,-0.0004415197220320506,0.002999850007499625,48,0.020998950052497377
head3_bin3_sufficiency,opposite_same_wording,head_position,sufficiency,3,3,-0.0011390428990125656,-0.0019431384357934197,-0.00032218963218232105,0.009149542522873857,48,0.04391780410979451
head3_bin4_necessity_loss,opposite_same_wording,head_position,necessity_loss,3,4,-0.00023286386082569757,-0.0009659093882267674,0.0005008941361059742,0.5384730763461827,48,0.7601972842534344
head3_bin4_sufficiency,opposite_same_wording,head_position,sufficiency,3,4,-0.00047593874235947925,-0.0011331861605867743,0.00023641017420838195,0.17974101294935252,48,0.3497363593358793
head3_bin5_necessity_loss,opposite_same_wording,head_position,necessity_loss,3,5,-0.0013675686592857044,-0.002226734735692541,-0.000499665721630059,0.0034998250087495625,48,0.020998950052497377
head3_bin5_sufficiency,opposite_same_wording,head_position,sufficiency,3,5,-0.0016053523868322372,-0.00228241429819415,-0.0009370892463872834,4.999750012499375e-05,48,0.000599970001499925
head3_necessity_loss,opposite_same_wording,head,necessity_loss,3,-1,-0.0028554374972979226,-0.0037268420060475667,-0.0019568282334754866,4.999750012499375e-05,48,
head3_sufficiency,opposite_same_wording,head,sufficiency,3,-1,-0.003971696520845096,-0.004889460427997013,-0.003029184656528135,4.999750012499375e-05,48,
