task_id,task_idx,bug_kind,condition,wording,label,label_name,prompt_tokens,test_path_first
task_011,11,off_by_one,canonical_impl,canonical,1,INSPECT_IMPLEMENTATION,284,0
task_011,11,off_by_one,paraphrase_test,paraphrase,0,INSPECT_TEST,268,0
task_011,11,off_by_one,paraphrase_impl,paraphrase,1,INSPECT_IMPLEMENTATION,268,0
task_012,12,branch,canonical_test,canonical,0,INSPECT_TEST,268,1
task_012,12,branch,canonical_impl,canonical,1,INSPECT_IMPLEMENTATION,268,1
task_012,12,branch,paraphrase_test,paraphrase,0,INSPECT_TEST,252,1
task_012,12,branch,paraphrase_impl,paraphrase,1,INSPECT_IMPLEMENTATION,252,1
task_013,13,normalization,canonical_test,canonical,0,INSPECT_TEST,290,0
task_013,13,normalization,canonical_impl,canonical,1,INSPECT_IMPLEMENTATION,290,0
task_013,13,normalization,paraphrase_test,paraphrase,0,INSPECT_TEST,274,0
task_013,13,normalization,paraphrase_impl,paraphrase,1,INSPECT_IMPLEMENTATION,274,0
task_014,14,ordering,canonical_test,canonical,0,INSPECT_TEST,287,1
task_014,14,ordering,canonical_impl,canonical,1,INSPECT_IMPLEMENTATION,287,1
task_014,14,ordering,paraphrase_test,paraphrase,0,INSPECT_TEST,271,1
task_014,14,ordering,paraphrase_impl,paraphrase,1,INSPECT_IMPLEMENTATION,271,1
task_015,15,boolean,canonical_test,canonical,0,INSPECT_TEST,269,0
task_015,15,boolean,canonical_impl,canonical,1,INSPECT_IMPLEMENTATION,269,0
task_015,15,boolean,paraphrase_test,paraphrase,0,INSPECT_TEST,253,0
task_015,15,boolean,paraphrase_impl,paraphrase,1,INSPECT_IMPLEMENTATION,253,0
task_016,16,boundary,canonical_test,canonical,0,INSPECT_TEST,285,1
task_016,16,boundary,canonical_impl,canonical,1,INSPECT_IMPLEMENTATION,285,1
task_016,16,boundary,paraphrase_test,paraphrase,0,INSPECT_TEST,269,1
task_016,16,boundary,paraphrase_impl,paraphrase,1,INSPECT_IMPLEMENTATION,269,1
task_017,17,default,canonical_test,canonical,0,INSPECT_TEST,284,0
task_017,17,default,canonical_impl,canonical,1,INSPECT_IMPLEMENTATION,284,0
task_017,17,default,paraphrase_test,paraphrase,0,INSPECT_TEST,268,0
task_017,17,default,paraphrase_impl,paraphrase,1,INSPECT_IMPLEMENTATION,268,0
task_018,18,sign,canonical_test,canonical,0,INSPECT_TEST,265,1
task_018,18,sign,canonical_impl,canonical,1,INSPECT_IMPLEMENTATION,265,1
task_018,18,sign,paraphrase_test,paraphrase,0,INSPECT_TEST,249,1
task_018,18,sign,paraphrase_impl,paraphrase,1,INSPECT_IMPLEMENTATION,249,1
task_019,19,off_by_one,canonical_test,canonical,0,INSPECT_TEST,285,0
task_019,19,off_by_one,canonical_impl,canonical,1,INSPECT_IMPLEMENTATION,285,0
task_019,19,off_by_one,paraphrase_test,paraphrase,0,INSPECT_TEST,269,0
task_019,19,off_by_one,paraphrase_impl,paraphrase,1,INSPECT_IMPLEMENTATION,269,0
task_020,20,branch,canonical_test,canonical,0,INSPECT_TEST,287,1
task_020,20,branch,canonical_impl,canonical,1,INSPECT_IMPLEMENTATION,287,1
task_020,20,branch,paraphrase_test,paraphrase,0,INSPECT_TEST,271,1
task_020,20,branch,paraphrase_impl,paraphrase,1,INSPECT_IMPLEMENTATION,271,1
task_021,21,normalization,canonical_test,canonical,0,INSPECT_TEST,270,0
task_021,21,normalization,canonical_impl,canonical,1,INSPECT_IMPLEMENTATION,270,0
task_021,21,normalization,paraphrase_test,paraphrase,0,INSPECT_TEST,254,0
task_021,21,normalization,paraphrase_impl,paraphrase,1,INSPECT_IMPLEMENTATION,254,0
task_022,22,ordering,canonical_test,canonical,0,INSPECT_TEST,285,1
task_022,22,ordering,canonical_impl,canonical,1,INSPECT_IMPLEMENTATION,285,1
task_022,22,ordering,paraphrase_test,paraphrase,0,INSPECT_TEST,269,1
task_022,22,ordering,paraphrase_impl,paraphrase,1,INSPECT_IMPLEMENTATION,269,1
task_023,23,boolean,canonical_test,canonical,0,INSPECT_TEST,288,0
task_023,23,boolean,canonical_impl,canonical,1,INSPECT_IMPLEMENTATION,288,0
task_023,23,boolean,paraphrase_test,paraphrase,0,INSPECT_TEST,272,0
task_023,23,boolean,paraphrase_impl,paraphrase,1,INSPECT_IMPLEMENTATION,272,0
task_024,24,boundary,canonical_test,canonical,0,INSPECT_TEST,266,1
task_024,24,boundary,canonical_impl,canonical,1,INSPECT_IMPLEMENTATION,266,1
task_024,24,boundary,paraphrase_test,paraphrase,0,INSPECT_TEST,250,1
task_024,24,boundary,paraphrase_impl,paraphrase,1,INSPECT_IMPLEMENTATION,250,1
task_025,25,default,canonical_test,canonical,0,INSPECT_TEST,283,0
task_025,25,default,canonical_impl,canonical,1,INSPECT_IMPLEMENTATION,283,0
task_025,25,default,paraphrase_test,paraphrase,0,INSPECT_TEST,267,0
task_025,25,default,paraphrase_impl,paraphrase,1,INSPECT_IMPLEMENTATION,267,0
task_026,26,sign,canonical_test,canonical,0,INSPECT_TEST,284,1
task_026,26,sign,canonical_impl,canonical,1,INSPECT_IMPLEMENTATION,284,1
task_026,26,sign,paraphrase_test,paraphrase,0,INSPECT_TEST,268,1
task_026,26,sign,paraphrase_impl,paraphrase,1,INSPECT_IMPLEMENTATION,268,1
task_027,27,off_by_one,canonical_test,canonical,0,INSPECT_TEST,270,0
task_027,27,off_by_one,canonical_impl,canonical,1,INSPECT_IMPLEMENTATION,270,0
task_027,27,off_by_one,paraphrase_test,paraphrase,0,INSPECT_TEST,254,0
task_027,27,off_by_one,paraphrase_impl,paraphrase,1,INSPECT_IMPLEMENTATION,254,0
task_028,28,branch,canonical_test,canonical,0,INSPECT_TEST,286,1
task_028,28,branch,canonical_impl,canonical,1,INSPECT_IMPLEMENTATION,286,1
task_028,28,branch,paraphrase_test,paraphrase,0,INSPECT_TEST,270,1
task_028,28,branch,paraphrase_impl,paraphrase,1,INSPECT_IMPLEMENTATION,270,1
task_029,29,normalization,canonical_test,canonical,0,INSPECT_TEST,289,0
task_029,29,normalization,canonical_impl,canonical,1,INSPECT_IMPLEMENTATION,289,0
task_029,29,normalization,paraphrase_test,paraphrase,0,INSPECT_TEST,273,0
task_029,29,normalization,paraphrase_impl,paraphrase,1,INSPECT_IMPLEMENTATION,273,0
task_030,30,ordering,canonical_test,canonical,0,INSPECT_TEST,269,1
task_030,30,ordering,canonical_impl,canonical,1,INSPECT_IMPLEMENTATION,269,1
task_030,30,ordering,paraphrase_test,paraphrase,0,INSPECT_TEST,253,1
task_030,30,ordering,paraphrase_impl,paraphrase,1,INSPECT_IMPLEMENTATION,253,1
task_031,31,boolean,canonical_test,canonical,0,INSPECT_TEST,287,0
task_031,31,boolean,canonical_impl,canonical,1,INSPECT_IMPLEMENTATION,287,0
task_031,31,boolean,paraphrase_test,paraphrase,0,INSPECT_TEST,271,0
task_031,31,boolean,paraphrase_impl,paraphrase,1,INSPECT_IMPLEMENTATION,271,0
task_032,32,boundary,canonical_test,canonical,0,INSPECT_TEST,283,1
task_032,32,boundary,canonical_impl,canonical,1,INSPECT_IMPLEMENTATION,283,1
task_032,32,boundary,paraphrase_test,paraphrase,0,INSPECT_TEST,267,1
task_032,32,boundary,paraphrase_impl,paraphrase,1,INSPECT_IMPLEMENTATION,267,1
task_033,33,default,canonical_test,canonical,0,INSPECT_TEST,267,0
task_033,33,default,canonical_impl,canonical,1,INSPECT_IMPLEMENTATION,267,0
task_033,33,default,paraphrase_test,paraphrase,0,INSPECT_TEST,251,0
task_033,33,default,paraphrase_impl,paraphrase,1,INSPECT_IMPLEMENTATION,251,0
task_034,34,sign,canonical_test,canonical,0,INSPECT_TEST,285,1
task_034,34,sign,canonical_impl,canonical,1,INSPECT_IMPLEMENTATION,285,1
task_034,34,sign,paraphrase_test,paraphrase,0,INSPECT_TEST,269,1
task_034,34,sign,paraphrase_impl,paraphrase,1,INSPECT_IMPLEMENTATION,269,1
task_035,35,off_by_one,canonical_test,canonical,0,INSPECT_TEST,286,0
task_035,35,off_by_one,canonical_impl,canonical,1,INSPECT_IMPLEMENTATION,286,0
task_035,35,off_by_one,paraphrase_test,paraphrase,0,INSPECT_TEST,270,0
task_035,35,off_by_one,paraphrase_impl,paraphrase,1,INSPECT_IMPLEMENTATION,270,0
task_036,36,branch,canonical_test,canonical,0,INSPECT_TEST,268,1
task_036,36,branch,canonical_impl,canonical,1,INSPECT_IMPLEMENTATION,268,1
task_036,36,branch,paraphrase_test,paraphrase,0,INSPECT_TEST,252,1
task_036,36,branch,paraphrase_impl,paraphrase,1,INSPECT_IMPLEMENTATION,252,1
task_037,37,normalization,canonical_test,canonical,0,INSPECT_TEST,288,0
task_037,37,normalization,canonical_impl,canonical,1,INSPECT_IMPLEMENTATION,288,0
task_037,37,normalization,paraphrase_test,paraphrase,0,INSPECT_TEST,272,0
task_037,37,normalization,paraphrase_impl,paraphrase,1,INSPECT_IMPLEMENTATION,272,0
task_038,38,ordering,canonical_test,canonical,0,INSPECT_TEST,286,1
task_038,38,ordering,canonical_impl,canonical,1,INSPECT_IMPLEMENTATION,286,1
task_038,38,ordering,paraphrase_test,paraphrase,0,INSPECT_TEST,270,1
task_038,38,ordering,paraphrase_impl,paraphrase,1,INSPECT_IMPLEMENTATION,270,1
task_039,39,boolean,canonical_test,canonical,0,INSPECT_TEST,273,0
task_039,39,boolean,canonical_impl,canonical,1,INSPECT_IMPLEMENTATION,273,0
task_039,39,boolean,paraphrase_test,paraphrase,0,INSPECT_TEST,257,0
task_039,39,boolean,paraphrase_impl,paraphrase,1,INSPECT_IMPLEMENTATION,257,0
task_040,40,boundary,canonical_test,canonical,0,INSPECT_TEST,284,1
task_040,40,boundary,canonical_impl,canonical,1,INSPECT_IMPLEMENTATION,284,1
task_040,40,boundary,paraphrase_test,paraphrase,0,INSPECT_TEST,268,1
task_040,40,boundary,paraphrase_impl,paraphrase,1,INSPECT_IMPLEMENTATION,268,1
task_041,41,default,canonical_test,canonical,0,INSPECT_TEST,285,0
task_041,41,default,canonical_impl,canonical,1,INSPECT_IMPLEMENTATION,285,0
task_041,41,default,paraphrase_test,paraphrase,0,INSPECT_TEST,269,0
task_041,41,default,paraphrase_impl,paraphrase,1,INSPECT_IMPLEMENTATION,269,0
task_042,42,sign,canonical_test,canonical,0,INSPECT_TEST,267,1
task_042,42,sign,canonical_impl,canonical,1,INSPECT_IMPLEMENTATION,267,1
task_042,42,sign,paraphrase_test,paraphrase,0,INSPECT_TEST,251,1
task_042,42,sign,paraphrase_impl,paraphrase,1,INSPECT_IMPLEMENTATION,251,1
task_043,43,off_by_one,canonical_test,canonical,0,INSPECT_TEST,287,0
task_043,43,off_by_one,canonical_impl,canonical,1,INSPECT_IMPLEMENTATION,287,0
task_043,43,off_by_one,paraphrase_test,paraphrase,0,INSPECT_TEST,271,0
task_043,43,off_by_one,paraphrase_impl,paraphrase,1,INSPECT_IMPLEMENTATION,271,0
task_044,44,branch,canonical_test,canonical,0,INSPECT_TEST,285,1
task_044,44,branch,canonical_impl,canonical,1,INSPECT_IMPLEMENTATION,285,1
task_044,44,branch,paraphrase_test,paraphrase,0,INSPECT_TEST,269,1
task_044,44,branch,paraphrase_impl,paraphrase,1,INSPECT_IMPLEMENTATION,269,1
task_045,45,normalization,canonical_test,canonical,0,INSPECT_TEST,270,0
task_045,45,normalization,canonical_impl,canonical,1,INSPECT_IMPLEMENTATION,270,0
task_045,45,normalization,paraphrase_test,paraphrase,0,INSPECT_TEST,254,0
task_045,45,normalization,paraphrase_impl,paraphrase,1,INSPECT_IMPLEMENTATION,254,0
task_046,46,ordering,canonical_test,canonical,0,INSPECT_TEST,289,1
task_046,46,ordering,canonical_impl,canonical,1,INSPECT_IMPLEMENTATION,289,1
task_046,46,ordering,paraphrase_test,paraphrase,0,INSPECT_TEST,273,1
task_046,46,ordering,paraphrase_impl,paraphrase,1,INSPECT_IMPLEMENTATION,273,1
task_047,47,boolean,canonical_test,canonical,0,INSPECT_TEST,288,0
task_047,47,boolean,canonical_impl,canonical,1,INSPECT_IMPLEMENTATION,288,0
task_047,47,boolean,paraphrase_test,paraphrase,0,INSPECT_TEST,272,0
task_047,47,boolean,paraphrase_impl,paraphrase,1,INSPECT_IMPLEMENTATION,272,0
